acronym,x,y,gc1,gc2,gc3,gc4,bio1,bio2,bio3,bio4,bio8,bio12,bio15,bio18
cam,2931185.3061122904,1854941.0448083659,0.042,0.0723,0.0726,0.8131,15.0583333333333,13.100000000000001,0.41194968553459105,6.58682684445157,8.66666666666667,452.70000000000005,51.1152335628688,36
cad,2988185.8587121833,2057813.2041639867,0.6593,0.052,0.0734,0.2153,11.3125,12.5916666666667,0.391045548654244,6.81389372732454,4.41666666666667,916.4,46.5870918017702,82.8
caz,3034453.2508774297,2204544.156382476,0.7267,0.1129,0.0445,0.1159,12.2333333333333,12.566666666666698,0.414741474147415,6.3045197832166195,8.65,415.6,35.7841345437196,60.7
cat,3163088.773228521,2043277.0925861436,0.0123,0.0245,0.9432,0.0199,13.6583333333333,12.3333333333333,0.394036208732694,6.78091685049546,9.7,512,40.2664498078137,61.5
cay,3690271.1976793758,2087024.2456732958,0.0866,0.5224,0.0128,0.3782,14.3625,10.774999999999999,0.409695817490494,5.74531924107079,15.4166666666667,729.9,25.7975647984301,166.1
coc,3758775.8352235593,2159372.540057997,0.1604,0.67,0.1149,0.0547,13.95,9.06666666666667,0.385815602836879,5.22202503388728,14.883333333333299,853.9,24.5851226044479,203.4
cap,3128137.3483482637,1648234.218828377,0.3812,0.3187,0.0496,0.2505,13.316666666666702,13.55,0.483928571428571,5.62952175158025,7.7,826.7,71.433417538987,51.7
cem,3122100.072595129,2119323.1075469316,0.011,0.0615,0.9171,0.0103,12.154166666666699,12.3416666666667,0.40070346320346295,6.67033658457466,13.9833333333333,447.40000000000003,28.1224100445532,67.4
car,3066636.7423651963,1803540.8976809597,0.0351,0.0435,0.3285,0.5928,15.0541666666667,13.2083333333333,0.405163599182004,6.850064974255,8.23333333333333,760.6,57.874925195891706,44.5
cmo,3072923.3845611354,2004774.3257688095,0.4864,0.1808,0.0343,0.2985,15.4791666666667,13.075000000000001,0.40605590062111796,6.8482731178721,8.43333333333333,574.5,51.806637075922396,45.5
cdm,2974651.9064094285,1988278.0812775346,0.0946,0.0374,0.0993,0.7687,16.5875,13.174999999999999,0.42500000000000004,6.5432520757856105,9.200000000000001,633.2,57.16373821668191,41.5
cas,3152406.83902595,1819507.661369367,0.2908,0.016,0.2325,0.4606,14.3458333333333,13.125,0.394144144144144,7.15384379621236,7.18333333333333,472.59999999999997,47.5909965135127,43.9
cdo,3117078.8925325563,2242619.738457599,0.6463,0.2153,0.0207,0.1177,11.2958333333333,12.475000000000001,0.430172413793103,5.95385506638473,7.95,483.7,28.138782003673,86.7
cds,2937291.420309702,1793360.9173280506,0.0266,0.0203,0.0202,0.9329,15.475000000000001,12.9,0.412140575079872,6.47598711324452,9.03333333333333,828.4000000000001,76.4610583055459,42.300000000000004
cer,3134858.689942128,2070495.4832102398,0.8418,0.095,0.0252,0.038,10.279166666666699,10.2916666666667,0.358594657375145,6.49683343614177,4.2,961.5999999999999,52.1557074870016,79.3
cha,3116070.38763772,2033518.2245505406,0.6252,0.2346,0.0458,0.0944,14.6916666666667,11.299999999999999,0.365695792880259,6.98107289661688,7.53333333333333,566.8,47.221142000442306,51.5
chi,3035774.951775061,1873674.6151647558,0.2007,0.0258,0.3306,0.4429,15.600000000000001,12.433333333333302,0.38612836438923404,7.0383042895805,8.5,720.1999999999999,49.7100808071636,62.599999999999994
cdc,3104518.096346903,2130085.5150534147,0.6289,0.2314,0.12,0.0198,12.3125,12.6583333333333,0.409654800431499,6.486213526325731,8.55,439.7,30.8647695466693,70.9
cir,2924563.4352127006,2099251.4851367557,0.5773,0.0312,0.0639,0.3277,13.070833333333301,12.758333333333301,0.42106710671067105,6.14940715299722,6.68333333333333,552.4,38.0269662163601,68.60000000000001
cod,3372519.190279926,2088105.3980536542,0.1542,0.7976,0.026,0.0222,12.0166666666667,12.383333333333299,0.398177920685959,6.68177076874541,13.9166666666667,533.2,27.76605858306,108
coy,3112748.5569006177,2041370.62110153,0.6294,0.0694,0.1156,0.1856,12.7083333333333,12.066666666666702,0.38428874734607205,6.8334349585939105,5.81666666666667,698.3,43.8056691359093,74.6
con,2950464.599736044,1791400.5074456069,0.0287,0.0267,0.8131,0.1315,14.966666666666699,13.149999999999999,0.412225705329154,6.5744454772500305,8.41666666666667,770,63.9733020787181,52.1
coa,2798130.722832911,1882428.681000648,0.0247,0.0689,0.0466,0.8599,17.1166666666667,12.3166666666667,0.416103603603604,6.15265402205841,10.9666666666667,599.9,61.08625321252531,33.7
cot,3048509.737922524,2210726.602383859,0.8837,0.0241,0.0629,0.0294,12.0916666666667,12.7,0.41639344262295097,6.34317218222344,8.46666666666667,408.1,32.5186152022493,62.5
cov,3206063.8213811237,2205641.029634297,0.5958,0.1407,0.1377,0.1258,10.8458333333333,11.625,0.396757679180887,5.99581135359334,4.866666666666671,650.8,33.9780842872675,109.2
cda,3328152.9288849453,2149683.872944923,0.4626,0.1306,0.0475,0.3592,9.99166666666667,12.2333333333333,0.39335476956055704,6.67801118098295,11.8333333333333,575.9000000000001,24.8875923391723,118.69999999999999
cum,2861814.978110785,1825006.489370243,0.0234,0.0381,0.0385,0.9,15.1875,12.6416666666667,0.413126361655773,6.20703870984019,9.116666666666669,812.0999999999999,62.0885110330942,46.4
cur,2860661.5714188125,2401110.800893442,0.6696,0.0769,0.1192,0.1343,11.6083333333333,10.733333333333299,0.490106544901065,4.13591988961746,7.633333333333329,1469.7,44.917135594997504,172.2
dar,3361038.4569930024,2075954.909553041,0.1498,0.7404,0.0695,0.0403,12.3625,12.2083333333333,0.401589912280702,6.5450232654632,14.2166666666667,474.90000000000003,25.6587688418414,108.10000000000001
deh,2909450.789371452,2066268.1316542253,0.5154,0.1502,0.1338,0.2005,12.337499999999999,12.4083333333333,0.40286796536796504,6.42148825145981,5.91666666666667,1150,60.349696285679705,76.8
don,2861606.915903192,1685474.972308215,0.0201,0.0232,0.9186,0.0381,18.120833333333298,11.375,0.442607003891051,5.10278258908952,13.0833333333333,570.7,73.419651126896,24
elb,3683255.275118799,2110925.322436941,0.3015,0.5538,0.0264,0.1183,9.31666666666667,10.5666666666667,0.38424242424242405,6.10675234821458,10.1666666666667,1023.6,18.3379448335927,237.7
ele,3123294.185359396,1911622.050670342,0.3866,0.2694,0.1442,0.1998,14.441666666666698,13.016666666666701,0.3932527693857,7.12405761976256,7.16666666666667,520.5,43.651424317483205,55.5
esp,3117483.16855646,2072683.6183928142,0.7321,0.1849,0.0193,0.0638,10.5666666666667,11.850000000000001,0.388524590163934,6.619370106442199,6.83333333333333,618.6999999999999,37.1850126310393,82
elp,3143463.962871812,2045146.2226943122,0.6729,0.1638,0.0906,0.0727,13.6375,12.225,0.39308681672025697,6.74530560666251,9.73333333333333,578.9,41.7269698830851,63.8
ven,3139819.524617645,2071973.145955626,0.0393,0.0371,0.9033,0.0202,7.50416666666667,9.158333333333331,0.329436450839328,6.56393238336086,1.3666666666666698,1320.3,41.6668973156127,139.9
ers,3539593.642274338,2215412.5660852706,0.1277,0.7976,0.0451,0.0296,7.53333333333333,12.1833333333333,0.403421633554084,6.22189438169515,9.51666666666667,1134.8999999999999,22.8919419696392,268
evs,3139135.927129082,2040625.6409417177,0.4713,0.2584,0.0953,0.175,13.7708333333333,12.2916666666667,0.393963675213675,6.77993223126943,9.81666666666667,573.9,41.8653080851725,63.5
esn,3511686.213702885,2182201.2318687094,0.0219,0.8014,0.0741,0.1026,13.070833333333301,11.908333333333301,0.39172149122807,6.6790873877599,15.3333333333333,762.6,22.811445939105003,170.79999999999998
esc,3583276.597843541,2184554.1963644978,0.0226,0.8297,0.0169,0.1309,10.25,12.1833333333333,0.418671248568156,6.10513941468393,15.7833333333333,785.8,26.877940520599203,239
est,3178364.964669995,2237312.329187418,0.8633,0.0628,0.0239,0.05,10.9916666666667,11.6666666666667,0.412249705535925,5.9704892952121105,7.7166666666666694,521.9,28.7072135013905,81.19999999999999
ezc,3249397.1389557915,2226296.8842747533,0.5966,0.3203,0.0219,0.0612,11.012500000000001,10.8916666666667,0.41100628930817595,5.6150012142798005,9.38333333333333,882.9000000000001,27.801580324597598,137.89999999999998
